shortname,fullname,Héraðssamband,thorid
UMFL,UMFL,,UMFL
UMFN,Unmennafélag Njarðvíkur,ÍBK,UMFN
UMFT,,UMSS,UMFT
UMFV,UMFV,,UMFV
UMFÞ,Ungmennafélagið Þróttur,,UMFÞ
UMSD,UMSD,,UMSD
UMSS,Ungmennasamband Skagafjarðar,,UMSS
USK,Umf. Skipaskagi,UMSB,USK
VAKA,Umf. Vaka,HSK,VAKA
VALUR,Knattspyrnufélagið Valur,ÍBR,VALUR
VALUR RF,Ungmennafélagið Valur Reyðarfirði,UÍA,VALUR RF
VIDAR,"Vidar Atletik, Danmörku",ERLENT,VIDAR
VÍÐIR,"Ungmennafélagið Víðir, Garði",ÍRB,VÍÐIR
VÍKINGUR,Víkingur,ÍBR,VÍKINGUR
VÍKINGUR-Ó,Víkingur Ólafsvík,HSH,VÍKINGUR-Ó
VÖLSUNGUR,Völsungur,HSÞ,VÖLSUNGUR
ÞJÓTANDI,Umf. Þjótandi,HSK,ÞJÓTANDI
ÞÓR,Umf. Þór,HSK,ÞÓR
ÞÓR A.,Þór Akureyri,ÍBA,ÞÓR A.
ÞÓR VESTM.,Knattspyrnufélagið Þór,ÍBV,ÞÓR VESTM.
ÞÓR Þ,"Þór, Þorlákshöfn",HSK,ÞÓR Þ
ÞÓRSHAMAR,Þórshamar,,ÞÓRSHAMAR
ÞÓRSMÖRK,Umf. Þórsmörk,HSK,ÞÓRSMÖRK
ÞRISTUR,Ungmennafélagið Þristur,UÍA,ÞRISTUR
ÞRÍÞR.AK.,Þríþrautarfélag Akureyrar,ÍBA,ÞRÍÞR.AK.
ÞRÓTTUR N,Þróttur Neskaupsstað,UÍA,ÞRÓTTUR N
ÞRÓTTUR R,Knattspyrnufélagið Þróttur,ÍBR,ÞRÓTTUR R
ÆGIR,Sundfélagið Ægir,ÍBR,ÆGIR
ÖSP,Íþr.fél. Ösp,ÍF,ÖSP
